term,crn,iid
201810,10329,190000003
201810,10330,190000003
201810,10331,100002421
201810,10332,100002421
201810,10333,100002421
201810,10334,100002421
201810,10335,100002421
201810,10336,100002421
201810,10337,100002421
201810,10338,100002421
201810,10339,190000005
201810,10340,100003488
201810,10341,100002361
201810,10342,100000907
201810,10343,100001490
201810,10344,100002210
201810,10345,100003702
201810,10346,100003608
201810,10347,100003705
201810,10348,100002757
201810,10349,100003136
201810,10350,100003377
201810,10351,100003610
201810,10352,100004222
201810,10353,100004416
201810,10354,100003785
201810,10355,100002538
201810,10356,100002366
201810,10357,100001067
201810,10358,100002532
201810,10359,100002991
201810,10360,190000005
201810,10361,190000005
201810,10362,190000005
201810,10363,190000005
201810,10364,190000005
201810,10365,100003488
201810,10366,100002361
201810,10367,100000907
201810,10368,100001490
201810,10369,100002210
201810,10370,100003702
201810,10371,100003608
201810,10372,100003705
201810,10373,100002757
201810,10374,100003136
201810,10375,100003377
201810,10376,100003610
201810,10377,100004222
201810,10378,100004416
201810,10379,100003785
201810,10380,100002538
201810,10381,100002366
201810,10382,100001067
201810,10383,100002532
201810,10384,100002991
201810,10385,190000005
201810,10386,190000005
201810,10387,190000005
201810,10388,190000005
201810,10389,100004309
201810,10390,100004309
201810,10391,100004309
201810,10392,100004309
201810,10393,100004309
201810,10394,100004309
201810,10395,301234584
201810,10396,190000005
201810,10397,100003488
201810,10398,100002361
201810,10399,100000907
201810,10400,100001490
201810,10401,100002210
201810,10402,100003702
201810,10403,100003608
201810,10404,100003705
201810,10405,100002757
201810,10406,100003136
201810,10407,100003377
201810,10408,100003610
201810,10409,100004222
201810,10410,100004416
201810,10411,100003785
201810,10412,100002538
201810,10413,100002366
201810,10414,100001067
201810,10415,100002532
201810,10416,100002991
201810,10417,190000005
201810,10418,190000005
201810,10419,190000005
201810,10420,190000005
201810,10421,190000005
201810,10422,100003488
201810,10423,100002361
201810,10424,100000907
201810,10425,100001490
201810,10426,100002210
201810,10427,100003702
201810,10428,100003608
201810,10429,100003705
201810,10430,100002757
201810,10431,100003136
201810,10432,100003377
201810,10433,100003610
201810,10434,100004222
201810,10435,100004416
201810,10436,100003785
201810,10437,100002538
201810,10438,100002366
201810,10439,100001067
201810,10440,100002532
201810,10441,100002991
201810,10442,190000005
201810,10443,190000005
201810,10444,190000005
201810,10445,190000005
201810,10446,190000005
201810,10447,100003488
201810,10448,100002361
201810,10449,100000907
201810,10450,100001490
201810,10451,100002210
201810,10452,100003702
201810,10453,100003608
201810,10454,100003705
201810,10455,100002757
201810,10456,100003136
201810,10457,100003377
201810,10458,100003610
201810,10459,100004222
201810,10460,100004416
201810,10461,100003785
201810,10462,100002538
201810,10463,100002366
201810,10464,100001067
201810,10465,100002532
201810,10466,100002991
201810,10467,190000005
201810,10468,190000005
201810,10469,190000005
201810,10470,190000005
201810,10471,190000005
201810,10472,100003488
201810,10473,100002361
201810,10474,100000907
201810,10475,100001490
201810,10476,100002210
201810,10477,100003702
201810,10478,100003608
201810,10479,100003705
201810,10480,100001942
201810,10481,100003136
201810,10482,100003377
201810,10483,100003610
201810,10484,100004222
201810,10485,100004416
201810,10486,100003785
201810,10487,100002538
201810,10488,100002366
201810,10489,100001067
201810,10490,100002532
201810,10491,100002991
201810,10492,190000005
201810,10493,190000005
201810,10494,190000005
201810,10495,190000005
201810,10496,190000005
201810,10497,100003488
201810,10498,100002361
201810,10499,100000907
201810,10500,100001490
201810,10501,100002210
201810,10502,100003702
201810,10503,100003608
201810,10504,100003705
201810,10505,100002757
201810,10506,100003136
201810,10507,100003377
201810,10508,100003610
201810,10509,100004222
201810,10510,100002421
201810,10511,100003785
201810,10512,100002538
201810,10513,100002366
201810,10514,100001067
201810,10515,100002532
201810,10516,100002991
201810,10517,190000005
201810,10518,190000005
201810,10519,190000005
201810,10520,190000005
201810,10521,301234585
201810,10522,190000005
201810,10523,100003488
201810,10524,100002361
201810,10525,100000907
201810,10526,100001490
201810,10527,100002210
201810,10528,100003702
201810,10529,100003608
201810,10530,100003705
201810,10531,100002757
201810,10532,100003136
201810,10533,100003377
201810,10534,100003610
201810,10535,100004222
201810,10536,100004416
201810,10537,100003785
201810,10538,100002538
201810,10539,100002366
201810,10540,100001067
201810,10541,100002532
201810,10542,100002991
201810,10543,190000005
201810,10544,190000005
201810,10545,190000005
201810,10546,190000005
201810,10547,190000005
201810,10548,100003488
201810,10549,100002361
201810,10550,100000907
201810,10551,100001490
201810,10552,100002210
201810,10553,100001942
201810,10554,100003608
201810,10555,100003705
201810,10556,100002757
201810,10557,100003136
201810,10558,100003377
201810,10559,100003610
201810,10560,100004222
201810,10561,100004416
201810,10562,100003785
201810,10563,100002538
201810,10564,100002366
201810,10565,100001067
201810,10566,100002532
201810,10567,100002991
201810,10568,190000005
201810,10569,190000005
201810,10570,190000005
201810,10571,190000005
201810,10572,190000005
201810,10573,100003488
201810,10574,100002361
201810,10575,100000907
201810,10576,100001490
201810,10577,100002210
201810,10578,100003702
201810,10579,100003608
201810,10580,100003705
201810,10581,100002757
201810,10582,100003136
201810,10583,100003377
201810,10584,100003610
201810,10585,100004222
201810,10586,100004416
201810,10587,100003785
201810,10588,100002538
201810,10589,100002366
201810,10590,100001067
201810,10591,100002532
201810,10592,100002991
201810,10593,190000005
201810,10594,190000005
201810,10595,190000005
201810,10596,190000005
201810,10597,100002421
201810,10598,100001294
201810,10599,100002908
201810,10600,100003494
201810,10601,100004158
201810,10602,190000007
201810,10603,190000007
201810,10604,100004319
201810,10605,100004319
201810,10606,100004319
201810,10607,100004319
201810,10608,100004319
201810,10609,190000007
201810,10610,100002066
201810,10611,190000007
201810,10612,100002485
201810,10613,100004319
201810,10614,100004319
201810,10615,100004319
201810,10616,100004319
201810,10617,100004319
201810,10618,190000007
201810,10619,190000007
201810,10620,100004201
201810,10621,100000644
201810,10622,190000008
201810,10623,100000173
201810,10624,301234586
201810,10625,301234587
201810,10626,301234588
201810,10627,301234589
201810,10628,301234590
201810,10629,301234591
201810,10630,301234592
201810,10631,301234593
201810,10632,301234594
201810,10633,301234595
201810,10634,301234596
201810,10635,301234597
201810,10636,301234598
201810,10637,301234599
201810,10638,301234600
201810,10639,301234601
201810,10640,301234602
201810,10641,301234603
201810,10642,301234604
201810,10643,301234605
201810,10644,301234606
201810,10645,301234607
201810,10646,301234608
201810,10647,301234609
201810,10648,190000008
201810,10649,190000008
201810,10650,100000644
201810,10651,190000008
201810,10652,190000008
201810,10653,100004319
201810,10654,100002562
201810,10655,100000221
201810,10656,190000008
201810,10657,100000409
201810,10658,100000366
201810,10659,100003318
201810,10660,100004201
201810,10661,100003525
201810,10662,100003575
201810,10663,190000008
201810,10664,100000232
201810,10665,100004161
201810,10666,100000451
201810,10667,100003639
201810,10668,190000008
201810,10669,100000196
201810,10670,100003042
201810,10671,301234610
201810,10672,100003738
201810,10673,100001137
201810,10674,190000008
201810,10675,190000008
201810,10676,100003089
