term,crn,subj_code,course_num,section,max_seats
201801,40336,ABG,299   ,026,99
201801,40337,ABG,299   ,027,99
201801,40338,ABG,299   ,028,99
201801,40339,ABG,299   ,029,99
201801,40340,ABG,299   ,031,99
201801,40341,ABG,299   ,032,99
201801,40342,ABG,299   ,033,99
201801,40343,ABG,299   ,034,99
201801,40344,ABG,299   ,035,99
201801,40345,ABG,299   ,036,99
201801,40346,ABG,299   ,037,99
201801,40347,ABG,299   ,038,99
201801,40348,ABG,299   ,040,99
201801,40349,ABG,299   ,041,99
201801,40350,ABG,299   ,042,99
201801,40351,ABG,299   ,044,99
201801,40352,ABG,299   ,045,99
201801,40353,ABG,299   ,046,99
201801,40354,ABG,299   ,047,99
201801,40355,ABG,299   ,048,99
201801,40356,ABG,299   ,049,99
201801,40357,ABG,299   ,050,99
201801,40358,ABG,299   ,051,99
201801,40359,ABG,299   ,052,99
201801,40360,ABG,299   ,053,99
201801,40361,ABG,299   ,054,99
201801,40362,ABG,299   ,055,99
201801,40363,ABG,299   ,056,99
201801,40364,ABG,299   ,057,99
201801,40365,ABG,299   ,058,99
201801,40366,ABG,299   ,059,99
201801,40367,ABG,299   ,060,99
201801,40368,ABG,299   ,061,99
201801,40369,ABG,299   ,062,99
201801,40370,ABG,299   ,063,99
201801,40371,ABG,300   ,001,99
201801,40372,ABG,396   ,000,0
201801,40373,ABG,396   ,001,99
201801,40374,ABG,396   ,002,99
201801,40375,ABG,396   ,003,99
201801,40376,ABG,396   ,004,99
201801,40377,ABG,396   ,006,99
201801,40378,ABG,396   ,007,99
201801,40379,ABG,396   ,008,99
201801,40380,ABG,396   ,010,99
201801,40381,ABG,396   ,011,99
201801,40382,ABG,396   ,012,99
201801,40383,ABG,396   ,013,99
201801,40384,ABI,50B   ,001,72
201801,40385,ABI,92    ,000,0
201801,40386,ABI,92    ,001,99
201801,40387,ABI,92    ,002,99
201801,40388,ABI,92    ,003,99
201801,40389,ABI,92    ,004,99
201801,40390,ABI,92    ,005,99
201801,40391,ABI,98    ,000,0
201801,40392,ABI,98    ,001,99
201801,40393,ABI,98    ,002,99
201801,40394,ABI,98    ,003,99
201801,40395,ABI,98    ,004,99
201801,40396,ABI,98    ,005,99
201801,40397,ABI,99    ,000,0
201801,40398,ABI,99    ,001,99
201801,40399,ABI,99    ,002,99
201801,40400,ABI,99    ,003,99
201801,40401,ABI,99    ,004,99
201801,40402,ABI,99    ,005,99
201801,40403,ABI,103   ,001,500
201801,40404,ABI,187   ,001,50
201801,40405,ABI,189   ,000,0
201801,40406,ABI,189   ,001,45
201801,40407,ABI,189   ,002,10
201801,40408,ABI,189   ,003,10
201801,40409,ABI,189   ,004,10
201801,40410,ABI,189   ,005,5
201801,40411,ABI,189   ,006,5
201801,40412,ABI,189   ,007,5
201801,40413,ABI,189   ,008,5
201801,40414,ABI,189   ,009,5
201801,40415,ABI,189   ,010,5
201801,40416,ABI,189   ,011,5
201801,40417,ABI,189   ,012,5
201801,40418,ABI,189   ,013,5
201801,40419,ABI,189   ,014,5
201801,40420,ABI,189   ,015,5
201801,40421,ABI,189   ,016,5
201801,40422,ABI,189   ,017,5
201801,40423,ABI,189   ,018,5
201801,40424,ABI,189   ,019,5
201801,40425,ABI,189   ,020,5
201801,40426,ABI,189   ,021,99
201801,40427,ABI,189   ,022,99
201801,40428,ABI,189   ,023,99
201801,40429,ABI,189   ,024,99
201801,40430,ABI,189   ,025,99
201801,40431,ABI,189   ,026,99
201801,40432,ABI,189   ,027,99
201801,40433,ABI,189   ,028,99
201801,40434,ABI,189   ,029,99
201801,40435,ABI,189   ,030,99
201801,40436,ABI,189   ,031,99
201801,40437,ABI,189   ,032,99
201801,40438,ABI,189   ,033,99
201801,40439,ABI,189   ,034,99
201801,40440,ABI,189   ,035,99
201801,40441,ABI,189   ,036,99
201801,40442,ABI,189   ,037,99
201801,40443,ABI,189   ,038,99
201801,40444,ABI,189   ,039,99
201801,40445,ABI,189   ,040,99
201801,40446,ABI,189   ,041,99
201801,40447,ABI,189   ,042,99
201801,40448,ABI,189   ,043,99
201801,40449,ABI,189   ,044,99
201801,40450,ABI,189   ,045,99
201801,40451,ABI,189D  ,000,0
201801,40452,ABI,189D  ,001,10
201801,40453,ABI,189D  ,002,5
201801,40454,ABI,189D  ,003,5
201801,40455,ABI,189D  ,004,5
201801,40456,ABI,189D  ,005,5
201801,40457,ABI,189D  ,006,5
201801,40458,ABI,189D  ,007,5
201801,40459,ABI,189D  ,008,5
201801,40460,ABI,189D  ,009,5
201801,40461,ABI,189D  ,010,5
201801,40462,ABI,189D  ,011,5
201801,40463,ABI,189D  ,012,5
201801,40464,ABI,189D  ,013,5
201801,40465,ABI,189D  ,014,5
201801,40466,ABI,189D  ,015,5
201801,40467,ABI,189D  ,016,5
201801,40468,ABI,189D  ,017,5
201801,40469,ABI,189D  ,018,5
201801,40470,ABI,189D  ,019,5
201801,40471,ABI,189D  ,020,5
201801,40472,ABI,189D  ,021,99
201801,40473,ABI,189D  ,022,99
201801,40474,ABI,189D  ,023,99
201801,40475,ABI,189D  ,024,99
201801,40476,ABI,189D  ,025,99
201801,40477,ABI,189D  ,026,99
201801,40478,ABI,189D  ,027,99
201801,40479,ABI,189D  ,028,99
201801,40480,ABI,189D  ,029,99
201801,40481,ABI,189D  ,030,99
201801,40482,ABI,189D  ,031,99
201801,40483,ABI,189D  ,032,99
201801,40484,ABI,189D  ,033,99
201801,40485,ABI,189D  ,034,99
201801,40486,ABI,189D  ,035,99
201801,40487,ABI,189D  ,036,99
201801,40488,ABI,192   ,000,0
201801,40489,ABI,192   ,001,99
201801,40490,ABI,192   ,002,99
201801,40491,ABI,192   ,003,99
201801,40492,ABI,192   ,004,99
201801,40493,ABI,192   ,005,99
201801,40494,ABI,198   ,000,0
201801,40495,ABI,198   ,001,42
201801,40496,ABI,198   ,002,99
201801,40497,ABI,198   ,003,99
201801,40498,ABI,198   ,004,99
201801,40499,ABI,198   ,005,99
201801,40500,ABI,199   ,000,0
201801,40501,ABI,199   ,001,99
201801,40502,ABI,199   ,002,99
201801,40503,ABI,199   ,003,99
201801,40504,ABI,199   ,004,99
201801,40505,ABI,199   ,005,99
201801,40506,ABI,199   ,006,99
201801,40507,ABT,15    ,A01,10
201801,40508,ABT,15    ,A02,10
201801,40509,ABT,52    ,A01,10
201801,40510,ABT,52    ,A02,10
201801,40511,ABT,98    ,000,0
201801,40512,ABT,98    ,001,99
201801,40513,ABT,98    ,002,99
201801,40514,ABT,98    ,003,99
201801,40515,ABT,98    ,004,99
201801,40516,ABT,98    ,005,99
201801,40517,ABT,98    ,006,99
201801,40518,ABT,98    ,007,99
201801,40519,ABT,98    ,008,99
201801,40520,ABT,98    ,009,99
201801,40521,ABT,98    ,010,99
201801,40522,ABT,98    ,011,99
201801,40523,ABT,98    ,012,99
201801,40524,ABT,98    ,013,99
201801,40525,ABT,98    ,014,99
201801,40526,ABT,98    ,015,99
201801,40527,ABT,98    ,016,99
201801,40528,ABT,98    ,017,99
201801,40529,ABT,98    ,018,99
201801,40530,ABT,98    ,019,99
201801,40531,ABT,98    ,020,99
201801,40532,ABT,98    ,021,99
201801,40533,ABT,98    ,022,99
201801,40534,ABT,98    ,023,99
201801,40535,ABT,98    ,024,99
201801,40536,ABT,98    ,025,99
201801,40537,ABT,98    ,026,99
201801,40538,ABT,98    ,027,99
201801,40539,ABT,98    ,028,99
201801,40540,ABT,99    ,000,0
201801,40541,ABT,99    ,001,99
201801,40542,ABT,99    ,002,99
201801,40543,ABT,99    ,003,99
201801,40544,ABT,99    ,004,99
201801,40545,ABT,99    ,005,99
201801,40546,ABT,99    ,006,99
201801,40547,ABT,99    ,007,99
201801,40548,ABT,99    ,008,99
201801,40549,ABT,99    ,009,99
201801,40550,ABT,99    ,010,99
201801,40551,ABT,99    ,011,99
201801,40552,ABT,99    ,012,99
201801,40553,ABT,99    ,013,99
201801,40554,ABT,99    ,014,99
201801,40555,ABT,99    ,015,99
201801,40556,ABT,99    ,016,99
201801,40557,ABT,99    ,017,99
201801,40558,ABT,99    ,018,99
201801,40559,ABT,99    ,019,99
201801,40560,ABT,99    ,020,99
201801,40561,ABT,99    ,021,99
201801,40562,ABT,99    ,022,99
201801,40563,ABT,99    ,023,99
201801,40564,ABT,99    ,024,99
201801,40565,ABT,99    ,025,99
201801,40566,ABT,99    ,026,99
201801,40567,ABT,99    ,027,99
201801,40568,ABT,99    ,028,99
201801,40569,ABT,101   ,001,30
201801,40570,ABT,101   ,002,30
201801,40571,ABT,161   ,001,15
201801,40572,ABT,165   ,001,22
201801,40574,ABT,190C  ,000,0
201801,40575,ABT,190C  ,001,99
201801,40576,ABT,190C  ,002,99
201801,40577,ABT,190C  ,003,99
201801,40578,ABT,190C  ,004,99
201801,40579,ABT,190C  ,005,99
201801,40580,ABT,190C  ,006,99
201801,40581,ABT,190C  ,007,99
201801,40582,ABT,190C  ,008,99
201801,40583,ABT,190C  ,009,99
201801,40584,ABT,190C  ,010,99
201801,40585,ABT,190C  ,011,99
201801,40586,ABT,190C  ,012,99
201801,40587,ABT,190C  ,013,99
201801,40588,ABT,190C  ,014,99
201801,40589,ABT,190C  ,015,99
201801,40590,ABT,190C  ,016,99
201801,40591,ABT,190C  ,017,99
201801,40592,ABT,190C  ,018,99
201801,40593,ABT,190C  ,020,99
201801,40594,ABT,190C  ,021,99
201801,40595,ABT,190C  ,022,99
201801,40596,ABT,190C  ,023,99
201801,40597,ABT,190C  ,024,99
201801,40598,ABT,190C  ,025,99
201801,40599,ABT,190C  ,026,99
201801,40600,ABT,190C  ,027,99
201801,40601,ABT,190C  ,028,99
201801,40602,ABT,192   ,000,0
201801,40603,ABT,192   ,001,99
201801,40604,ABT,192   ,002,99
201801,40605,ABT,192   ,003,99
201801,40606,ABT,192   ,004,99
201801,40607,ABT,192   ,005,99
201801,40608,ABT,192   ,006,99
201801,40609,ABT,192   ,007,99
201801,40610,ABT,192   ,008,99
201801,40611,ABT,192   ,009,99
201801,40612,ABT,192   ,010,99
201801,40613,ABT,192   ,011,99
201801,40614,ABT,192   ,012,99
201801,40615,ABT,192   ,013,99
201801,40616,ABT,192   ,014,99
201801,40617,ABT,192   ,015,99
201801,40618,ABT,192   ,016,99
201801,40619,ABT,192   ,017,99
201801,40620,ABT,192   ,018,99
201801,40621,ABT,192   ,019,99
201801,40622,ABT,192   ,020,99
201801,40623,ABT,192   ,021,99
201801,40624,ABT,192   ,023,99
201801,40625,ABT,192   ,024,99
201801,40626,ABT,192   ,025,99
201801,40627,ABT,192   ,026,99
201801,40628,ABT,192   ,027,99
201801,40629,ABT,192   ,028,99
201801,40630,ABT,197T  ,000,0
201801,40631,ABT,197T  ,001,99
201801,40632,ABT,197T  ,003,99
201801,40633,ABT,197T  ,004,99
201801,40634,ABT,197T  ,005,99
201801,40635,ABT,197T  ,006,99
201801,40636,ABT,197T  ,007,99
201801,40637,ABT,197T  ,008,99
201801,40638,ABT,197T  ,009,99
201801,40639,ABT,197T  ,010,99
201801,40640,ABT,197T  ,011,99
201801,40641,ABT,197T  ,012,99
201801,40642,ABT,197T  ,013,99
201801,40643,ABT,197T  ,014,99
201801,40644,ABT,197T  ,015,99
201801,40645,ABT,197T  ,016,99
201801,40646,ABT,197T  ,017,99
201801,40647,ABT,197T  ,018,99
201801,40648,ABT,197T  ,019,99
201801,40649,ABT,197T  ,020,99
201801,40650,ABT,197T  ,021,99
201801,40651,ABT,197T  ,022,99
201801,40652,ABT,197T  ,023,99
201801,40653,ABT,197T  ,024,99
201801,40654,ABT,197T  ,025,99
201801,40655,ABT,197T  ,026,99
201801,40656,ABT,197T  ,027,99
201801,40657,ABT,197T  ,028,99
201801,40658,ABT,198   ,000,0
201801,40659,ABT,198   ,001,99
201801,40660,ABT,198   ,002,99
201801,40661,ABT,198   ,003,99
201801,40662,ABT,198   ,004,99
201801,40663,ABT,198   ,005,99
201801,40664,ABT,198   ,006,99
201801,40665,ABT,198   ,007,99
201801,40666,ABT,198   ,008,99
201801,40667,ABT,198   ,009,99
201801,40668,ABT,198   ,010,99
201801,40669,ABT,198   ,011,99
201801,40670,ABT,198   ,012,99
201801,40671,ABT,198   ,013,99
201801,40672,ABT,198   ,014,99
201801,40673,ABT,198   ,015,99
201801,40674,ABT,198   ,016,99
201801,40675,ABT,198   ,017,99
201801,40676,ABT,198   ,018,99
201801,40677,ABT,198   ,019,99
201801,40678,ABT,198   ,020,99
201801,40679,ABT,198   ,021,99
201801,40680,ABT,198   ,022,99
201801,40681,ABT,198   ,023,99
201801,40682,ABT,198   ,024,99
201801,40683,ABT,198   ,025,99
201801,40684,ABT,198   ,026,20
201801,40685,ABT,198   ,027,99
