term,crn,iid
201801,70176,100000027
201803,78272,100000027
201801,68237,100000028
201801,68270,100000028
201801,68303,100000028
201801,68340,100000028
201803,76264,100000028
201803,76297,100000028
201803,76330,100000028
201803,76363,100000028
201803,76394,100000028
201810,36753,100000028
201810,36786,100000028
201810,36819,100000028
201810,36855,100000028
201801,51507,100000029
201801,51550,100000029
201801,51638,100000029
201801,51681,100000029
201801,51731,100000029
201801,51774,100000029
201801,51827,100000029
201803,60163,100000029
201803,60208,100000029
201803,60286,100000029
201803,60329,100000029
201803,60385,100000029
201803,60428,100000029
201803,60523,100000029
201803,81676,100000029
201810,20125,100000029
201810,20168,100000029
201810,20253,100000029
201810,20296,100000029
201810,20349,100000029
201810,20392,100000029
201810,20445,100000029
201810,42481,100000029
201801,74691,100000030
201803,82022,100000030
201810,28556,100000030
201810,28557,100000030
201810,28558,100000030
201801,71740,100000032
201803,79820,100000032
201810,40239,100000032
201810,40312,100000032
201801,69776,100000033
201801,69864,100000033
201801,69915,100000033
201801,69979,100000033
201803,77910,100000033
201803,78001,100000033
201803,82340,100000033
201810,38324,100000033
201810,38407,100000033
201810,38443,100000033
201810,42782,100000033
201801,57162,100000034
201801,57187,100000034
201801,57215,100000034
201801,57228,100000034
201801,57255,100000034
201801,57288,100000034
201801,57338,100000034
201801,57379,100000034
201801,57410,100000034
201801,57451,100000034
201803,65719,100000034
201803,65743,100000034
201803,65785,100000034
201803,65810,100000034
201803,65838,100000034
201803,65886,100000034
201803,65921,100000034
201803,65951,100000034
201810,25738,100000034
201810,25764,100000034
201810,25788,100000034
201810,25789,100000034
201810,25790,100000034
201810,25791,100000034
201810,25792,100000034
201810,25794,100000034
201810,25803,100000034
201810,25813,100000034
201810,25839,100000034
201810,25869,100000034
201810,25911,100000034
201810,25949,100000034
201810,25983,100000034
201810,26018,100000034
201801,73059,100000035
201801,75014,100000035
201803,80816,100000035
201803,82971,100000035
201810,41322,100000035
201810,41326,100000035
201810,41334,100000035
201801,71624,100000036
201801,71625,100000036
201801,71626,100000036
201801,71627,100000036
201801,71628,100000036
201801,71629,100000036
201801,71630,100000036
201801,71631,100000036
201801,71632,100000036
201801,71633,100000036
201801,71635,100000036
201801,71677,100000036
201801,71697,100000036
201801,71717,100000036
201801,71739,100000036
201801,71753,100000036
201801,74644,100000036
201803,79692,100000036
201803,79693,100000036
201803,79694,100000036
201803,79695,100000036
201803,79696,100000036
201803,79697,100000036
201803,79698,100000036
201803,79699,100000036
201803,79700,100000036
201803,79701,100000036
201803,79735,100000036
201803,79736,100000036
201803,79737,100000036
201803,79753,100000036
201803,79815,100000036
201803,79833,100000036
201803,81601,100000036
201810,40181,100000036
201810,40182,100000036
201810,40183,100000036
201810,40185,100000036
201810,40186,100000036
201810,40187,100000036
201810,40189,100000036
201810,40190,100000036
201810,40191,100000036
201810,40192,100000036
201810,40199,100000036
201810,40311,100000036
201810,40328,100000036
201810,42500,100000036
201801,49940,100000037
201801,49957,100000037
201801,49981,100000037
201801,49994,100000037
201801,50017,100000037
201801,50037,100000037
201801,50054,100000037
201801,50081,100000037
201801,50106,100000037
201801,50125,100000037
201801,50149,100000037
201803,58628,100000037
201803,58640,100000037
201803,58663,100000037
201803,58685,100000037
201803,58702,100000037
201803,58727,100000037
201803,58769,100000037
201803,58792,100000037
201810,18501,100000037
201810,18519,100000037
201810,18549,100000037
201810,18572,100000037
201810,18596,100000037
201810,18614,100000037
201810,18643,100000037
201810,18665,100000037
201810,18684,100000037
201810,18707,100000037
201801,63433,100000038
201801,63434,100000038
201801,63435,100000038
201803,71228,100000038
201803,71229,100000038
201803,71230,100000038
201810,31509,100000038
201810,31511,100000038
201801,45354,100000039
201801,72710,100000039
201803,53798,100000039
201803,80329,100000039
201810,13827,100000039
201810,14140,100000039
201810,24244,100000039
201810,40938,100000039
201801,50208,100000040
201801,50259,100000040
201801,50310,100000040
201801,50388,100000040
201801,50439,100000040
201801,50490,100000040
201801,50542,100000040
201801,50623,100000040
201801,50676,100000040
201801,50727,100000040
201801,50778,100000040
201801,74365,100000040
201801,74366,100000040
201801,74367,100000040
201801,74368,100000040
201801,74369,100000040
201801,74370,100000040
201803,58856,100000040
201803,58907,100000040
201803,58958,100000040
201803,59042,100000040
201803,59093,100000040
201803,59144,100000040
201803,59195,100000040
201803,59219,100000040
201803,59287,100000040
201803,59339,100000040
201803,59390,100000040
201803,59441,100000040
201810,18772,100000040
201810,18823,100000040
201810,18874,100000040
201810,18960,100000040
201810,19011,100000040
201810,19068,100000040
201810,19119,100000040
201810,19137,100000040
201810,19201,100000040
201810,19253,100000040
201810,19304,100000040
201810,19355,100000040
201803,61663,100000041
201810,21766,100000041
201801,45097,100000042
201801,54624,100000042
201801,70736,100000042
201801,75501,100000042
201801,75632,100000042
201803,53808,100000042
201803,78794,100000042
201803,82983,100000042
201810,13836,100000042
201810,13898,100000042
201810,43612,100000042
201810,43944,100000044
201801,69465,100000045
201801,69504,100000045
201803,77485,100000045
201803,77524,100000045
201810,37924,100000045
201801,44882,100000047
201801,45629,100000047
201801,45673,100000047
201801,45739,100000047
201801,55713,100000047
201801,57057,100000047
201801,65799,100000047
201801,68414,100000047
201801,68533,100000047
201801,68649,100000047
201801,68740,100000047
201801,68858,100000047
201801,68946,100000047
201801,69066,100000047
201801,69166,100000047
201801,69255,100000047
201801,69344,100000047
201803,53596,100000047
201803,54391,100000047
201803,54453,100000047
201803,54501,100000047
201803,65516,100000047
201803,73590,100000047
201803,76434,100000047
201803,76552,100000047
201803,76666,100000047
201803,76759,100000047
201803,76846,100000047
201803,76876,100000047
201803,76965,100000047
201803,77086,100000047
201803,77186,100000047
201803,77275,100000047
201803,77364,100000047
201810,13621,100000047
201810,14529,100000047
201810,14569,100000047
201810,25653,100000047
201810,34149,100000047
201810,36924,100000047
201810,37043,100000047
201810,37168,100000047
201810,37258,100000047
201810,37376,100000047
201810,37466,100000047
201810,37586,100000047
201810,37686,100000047
201810,37714,100000047
201810,37803,100000047
201801,53041,100000048
201801,53192,100000048
201810,21796,100000048
201810,21828,100000048
201810,21945,100000048
201801,70160,100000049
201801,70404,100000049
201803,78288,100000049
201803,78444,100000049
201803,78515,100000049
201803,78605,100000049
201810,38643,100000049
201810,38855,100000049
201801,40262,100000051
201801,40320,100000051
201801,62516,100000051
201801,62586,100000051
201801,62669,100000051
201803,50077,100000051
201803,50136,100000051
201803,70426,100000051
201803,75006,100000051
201810,30462,100000051
201810,30551,100000051
201810,30637,100000051
201801,67953,100000052
201801,67984,100000052
201801,68015,100000052
201801,68043,100000052
201801,68075,100000052
201801,68106,100000052
201801,68137,100000052
201801,68168,100000052
201801,68199,100000052
201803,73687,100000052
201803,75987,100000052
201803,76011,100000052
201803,76070,100000052
201803,76093,100000052
201803,76127,100000052
201803,76155,100000052
201803,76186,100000052
201801,54153,100000053
201801,74344,100000053
201803,81745,100000053
201810,21273,100000053
201801,46368,100000055
201801,46424,100000055
201801,46568,100000055
201801,46624,100000055
201801,46680,100000055
201801,46736,100000055
201801,46792,100000055
201801,46848,100000055
201801,46901,100000055
201801,46974,100000055
201801,47035,100000055
201801,47096,100000055
201801,47163,100000055
201801,47224,100000055
201801,47285,100000055
201801,55628,100000055
201801,55629,100000055
201803,55088,100000055
201803,55144,100000055
201803,55269,100000055
201803,55298,100000055
201803,55350,100000055
201803,55401,100000055
201803,55452,100000055
201803,55503,100000055
201803,55554,100000055
201803,55606,100000055
201803,55665,100000055
201803,55726,100000055
201803,55787,100000055
201803,55854,100000055
201803,55915,100000055
201803,55976,100000055
201803,64264,100000055
201803,64265,100000055
201810,15162,100000055
201810,15212,100000055
201810,15397,100000055
201810,15448,100000055
201810,15499,100000055
201810,15551,100000055
201810,15602,100000055
201810,15653,100000055
201810,15712,100000055
201810,15768,100000055
201810,15824,100000055
201810,15887,100000055
201810,15943,100000055
201810,15999,100000055
201810,24210,100000055
201810,24211,100000055
201801,50831,100000057
201801,50884,100000057
201801,54085,100000057
201801,54134,100000057
201801,54160,100000057
201801,54186,100000057
201801,54212,100000057
201801,54238,100000057
201801,55707,100000057
201801,60870,100000057
201801,60919,100000057
201801,65604,100000057
201801,65619,100000057
201801,65673,100000057
201801,65725,100000057
201801,74497,100000057
201803,59462,100000057
201803,59541,100000057
201803,62720,100000057
