term,crn,subj_code,course_num,section,max_seats
201810,10158,ABG,299   ,017,99
201810,10159,ABG,299   ,018,99
201810,10160,ABG,299   ,019,99
201810,10161,ABG,299   ,020,99
201810,10162,ABG,299   ,021,99
201810,10163,ABG,299   ,022,99
201810,10164,ABG,299   ,023,99
201810,10165,ABG,299   ,024,99
201810,10166,ABG,299   ,025,99
201810,10167,ABG,299   ,026,99
201810,10168,ABG,299   ,027,99
201810,10169,ABG,299   ,028,99
201810,10170,ABG,299   ,029,99
201810,10171,ABG,299   ,030,99
201810,10172,ABG,299   ,031,99
201810,10173,ABG,299   ,032,99
201810,10174,ABG,299   ,033,99
201810,10175,ABG,299   ,034,99
201810,10176,ABG,299   ,035,99
201810,10177,ABG,299   ,036,99
201810,10178,ABG,299   ,037,99
201810,10179,ABG,299   ,038,99
201810,10180,ABG,299   ,039,99
201810,10181,ABG,299   ,040,99
201810,10182,ABG,299   ,041,99
201810,10183,ABG,299   ,042,99
201810,10184,ABG,299   ,043,99
201810,10185,ABG,299   ,044,99
201810,10186,ABG,299   ,045,99
201810,10187,ABG,299   ,046,99
201810,10188,ABG,299   ,047,99
201810,10189,ABG,299   ,048,99
201810,10190,ABG,299   ,049,99
201810,10191,ABG,299   ,050,99
201810,10192,ABG,299   ,051,99
201810,10193,ABG,299   ,052,99
201810,10194,ABG,299   ,053,99
201810,10195,ABG,299   ,054,99
201810,10196,ABG,299   ,055,99
201810,10197,ABG,299   ,056,99
201810,10198,ABG,299   ,057,99
201810,10199,ABG,300   ,001,20
201810,10200,ABG,396   ,000,0
201810,10201,ABG,396   ,001,99
201810,10202,ABG,396   ,002,99
201810,10203,ABG,396   ,003,99
201810,10204,ABG,396   ,004,99
201810,10205,ABG,396   ,005,99
201810,10206,ABG,396   ,006,99
201810,10207,ABG,396   ,007,99
201810,10208,ABG,396   ,008,99
201810,10209,ABG,396   ,009,99
201810,10210,ABG,396   ,010,99
201810,10211,ABG,396   ,011,99
201810,10212,ABG,396   ,012,99
201810,10213,ABG,396   ,013,99
201810,10214,ABG,401   ,001,999
201810,10215,ABI,50A   ,A01,30
201810,10216,ABI,50A   ,A02,30
201810,10217,ABI,50A   ,A03,30
201810,10218,ABI,50A   ,A04,30
201810,10219,ABI,50B   ,001,72
201810,10220,ABI,92    ,000,0
201810,10221,ABI,92    ,001,99
201810,10222,ABI,92    ,002,99
201810,10223,ABI,92    ,003,99
201810,10224,ABI,92    ,004,99
201810,10225,ABI,92    ,005,99
201810,10226,ABI,98    ,000,0
201810,10227,ABI,98    ,001,99
201810,10228,ABI,98    ,002,99
201810,10229,ABI,98    ,003,99
201810,10230,ABI,98    ,004,99
201810,10231,ABI,98    ,005,99
201810,10232,ABI,99    ,000,0
201810,10233,ABI,99    ,001,99
201810,10234,ABI,99    ,002,99
201810,10235,ABI,99    ,003,99
201810,10236,ABI,99    ,004,99
201810,10237,ABI,99    ,005,99
201810,10238,ABI,102   ,001,500
201810,10240,ABI,187   ,001,40
201810,10241,ABI,189   ,000,0
201810,10242,ABI,189   ,001,45
201810,10243,ABI,189   ,002,10
201810,10244,ABI,189   ,003,10
201810,10245,ABI,189   ,004,10
201810,10246,ABI,189   ,005,10
201810,10247,ABI,189   ,006,10
201810,10248,ABI,189   ,007,10
201810,10249,ABI,189   ,008,10
201810,10250,ABI,189   ,009,10
201810,10251,ABI,189   ,010,10
201810,10252,ABI,189   ,011,10
201810,10253,ABI,189   ,012,10
201810,10254,ABI,189   ,013,10
201810,10255,ABI,189   ,014,10
201810,10256,ABI,189   ,015,10
201810,10257,ABI,189   ,016,99
201810,10258,ABI,189   ,017,99
201810,10259,ABI,189   ,018,99
201810,10260,ABI,189   ,019,99
201810,10261,ABI,189   ,020,99
201810,10262,ABI,189   ,021,99
201810,10263,ABI,189   ,022,99
201810,10264,ABI,189   ,023,99
201810,10265,ABI,189   ,024,99
201810,10266,ABI,189   ,025,99
201810,10267,ABI,189   ,026,99
201810,10268,ABI,189   ,027,99
201810,10269,ABI,189   ,028,99
201810,10270,ABI,189   ,029,99
201810,10271,ABI,189   ,030,99
201810,10272,ABI,189   ,031,99
201810,10273,ABI,189   ,032,99
201810,10274,ABI,189   ,033,99
201810,10275,ABI,189   ,034,99
201810,10276,ABI,189   ,035,99
201810,10277,ABI,189D  ,000,0
201810,10278,ABI,189D  ,001,10
201810,10279,ABI,189D  ,002,10
201810,10280,ABI,189D  ,003,10
201810,10281,ABI,189D  ,004,10
201810,10282,ABI,189D  ,005,10
201810,10283,ABI,189D  ,006,10
201810,10284,ABI,189D  ,007,10
201810,10285,ABI,189D  ,008,10
201810,10286,ABI,189D  ,009,10
201810,10287,ABI,189D  ,010,10
201810,10288,ABI,189D  ,011,10
201810,10289,ABI,189D  ,012,10
201810,10290,ABI,189D  ,013,10
201810,10291,ABI,189D  ,014,10
201810,10292,ABI,189D  ,015,10
201810,10293,ABI,189D  ,016,99
201810,10294,ABI,189D  ,017,99
201810,10295,ABI,189D  ,018,99
201810,10296,ABI,189D  ,019,99
201810,10297,ABI,189D  ,020,99
201810,10298,ABI,189D  ,021,99
201810,10299,ABI,189D  ,022,99
201810,10300,ABI,189D  ,023,99
